id,refseq,uniprot,gene,chrom,start,end
A_23_P141100,NM_012091,Q9BUB4,ADAT1,,,
A_23_P126313,NM_018417,Q96PN6,ADCY10 ,,,
A_23_P157109,NM_001118,A0A090N8F8,ADCYAP1R1 ,,,
A_23_P134953,NM_001122,Q6FHZ7,ADFP ,,,
A_23_P158925,NM_145290,Q8IWK6,ADGRA3 ,,,
A_23_P140760,NM_170776,Q86Y34,ADGRG3 ,,,
A_23_P10980,NM_015236,Q9HAR2,ADGRL3 ,,,
A_23_P157569,NM_144650,Q8IWW8,ADHFE1 ,,,
A_23_P148194,NM_018269,Q9BV57,ADI1 ,,,
A_23_P161439,NM_006829,Q15847,ADIRF ,,,
A_23_P112596,NM_001123,P55263,ADK,,,
A_23_P127948,NM_001124,P35318,ADM ,,,
A_23_P137931,NM_000677,P0DMS8,ADORA3,,,
A_23_P14716,NM_031284,Q9BRR6,ADPGK ,,,
A_23_P138706,NM_000681,P08913,ADRA2A ,,,
A_23_P145024,NM_000024,P07550,ADRB2 ,,,
A_23_P155103,NM_000026,P30566,ADSL ,,,
A_23_P156826,NM_032744,Q96IZ2,ADTRP ,,,
A_23_P157299,NM_001129,Q8IUX7,AEBP1 ,,,
A_23_P165061,NM_198969,Q08117,AES ,,,
A_23_P102542,NM_203437,Q6ULP2,AFTPH ,,,
A_23_P111452,NM_031946,Q86XV5,AGAP3,,,
A_23_P103720,NM_024758,A0A024QZ78,AGMAT ,,,
A_23_P136116,NM_001004320,Q6ZNB7,AGMO ,,,
A_23_P115261,NM_000029,B0ZBE2,AGT ,,,
A_23_P158596,NM_001040196,Q6RW13,AGTRAP ,,,
A_23_P115331,NM_001029882,Q5TGY3,AHDC1,,,
A_23_P117599,NM_012111,O95433,AHSA1 ,,,
A_23_P155514,NM_001622,P02765,AHSG ,,,
A_23_P121686,NM_004757,Q12904,AIMP1 ,,,
A_23_P105963,NM_152327,Q96M32,AK7,,,
A_23_P14035,NM_006422,O75969,AKAP3 ,,,
A_23_P11081,NM_003886,Q5JQC9,AKAP4 ,,,
A_23_P106103,NM_004857,P24588,AKAP5 ,,,
A_23_P14351,NM_004274,B2RP22,AKAP6,,,
A_23_P153767,NM_014371,Q9ULX6,AKAP8L ,,,
A_23_P138541,NM_003739,P42330,AKR1C3 ,,,
A_23_P149926,NM_001818,P17516,AKR1C4 ,,,
A_23_P115356,NM_003689,O43488,AKR7A2 ,,,
A_23_P103968,NM_012067,O95154,AKR7A3 ,,,
A_23_P1361,NM_002860,P54886,ALDH18A1 ,,,
A_23_P128967,NM_005589,A0A024R6G4,ALDH6A1 ,,,
A_23_P146728,NM_033087,A0A024R184,ALG2 ,,,
A_23_P151436,NM_013338,Q9Y673,ALG5 ,,,
A_23_P13554,NM_001007027,Q9BVK2,ALG8 ,,,
A_23_P14543,NM_006020,Q13686,ALKBH1 ,,,
A_23_P153050,NM_017758,Q6P6C2,ALKBH5 ,,,
A_23_P108734,NM_018436,B4DY77,ALLC ,,,
A_23_P152906,NM_000697,P18054,ALOX12 ,,,
A_23_P104464,NM_000698,P09917,ALOX5 ,,,
A_23_P133133,NM_025144,Q96QP1,ALPK1 ,,,
A_23_P15876,NM_052947,Q86TB3,ALPK2 ,,,
A_23_P152984,NM_005782,E9PB61,ALYREF,,,
A_23_P141005,NM_001144,Q9UKV5,AMFR ,,,
A_23_P14083,NM_181847,A0A024R127,AMIGO2 ,,,
A_23_P15564,NM_016627,Q86W34,AMZ2 ,,,
A_23_P126706,NM_004673,A0A024R908,ANGPTL1 ,,,
A_23_P160262,NM_014495,Q9Y5C1,ANGPTL3 ,,,
A_23_P114862,NM_021146,O43827,ANGPTL7 ,,,
A_23_P133068,NM_001148,Q01484,ANK2,,,
A_23_P10858,NM_015114,Q86XL3,ANKLE2 ,,,
A_23_P161218,NM_014391,Q15327,ANKRD1 ,,,
A_23_P163639,NM_013275,Q6UB99,ANKRD11 ,,,
A_23_P115597,NM_014915,Q9UPS8,ANKRD26 ,,,
A_23_P153640,NM_032139,Q96NW4,ANKRD27 ,,,
A_23_P12533,NM_052997,Q9BXX3,ANKRD30A,,,
A_23_P144684,NM_032290,I6L9F1,ANKRD32 ,,,
A_23_P120921,NM_138797,Q6NXT1,ANKRD54 ,,,
A_23_P156748,NM_015245,Q05CP0,ANKS1A,,,
A_23_P119907,NM_018089,A0A024R464,ANKZF1 ,,,
A_23_P160934,NM_030920,Q9BTT0,ANP32E,,,
A_23_P1170,NM_174890,A0A024R7V9,ANUBL1 ,,,
A_23_P146644,NM_001002857,A0A024R5Z7,ANXA2 ,,,
A_23_P121716,NM_005139,P12429,ANXA3 ,,,
A_23_P103617,NM_003568,O76027,ANXA9 ,,,
A_23_P145718,NM_001637,P28039,AOAH,,,
A_23_P154037,NM_001159,Q06278,AOX1 ,,,
A_23_P157404,NM_001283,A0A024QYT6,AP1S1 ,,,
A_23_P136635,NM_003664,O00203,AP3B1 ,,,
A_23_P158938,NM_207012,A0A024QZR5,AP3M1 ,,,
A_23_P157051,NM_004722,O00189,AP4M1 ,,,
A_23_P101905,NM_005883,O95996,APC2 ,,,
A_23_P151653,NM_080649,P27695,APEX1 ,,,
A_23_P113393,NM_017413,Q9ULZ1,APLN ,,,
A_23_P14019,NM_001644,P41238,APOBEC1,,,
A_23_P120931,NM_014508,Q9NRW3,APOBEC3C ,,,
A_23_P132316,NM_152426,B2CML4,APOBEC3DE ,,,
A_23_P143713,NM_021822,Q9HC16,APOBEC3G ,,,
A_23_P136777,NM_001647,P05090,APOD,,,
A_23_P155052,NM_030641,B3KTP4,APOL6 ,,,
A_23_P136986,NM_198450,Q6UXV4,APOOL ,,,
A_23_P162879,NM_032374,Q96IL0,APOPT1 ,,,
A_23_P105747,NM_018171,Q8NEU8,APPL2 ,,,
A_23_P126613,NM_080429,Q96PS8,AQP10,,,
A_23_P142856,NM_198998,Q8IXF9,AQP12A ,,,
A_23_P112482,NM_004925,Q92482,AQP3,,,
A_23_P158041,NM_001170,O14520,AQP7 ,,,
A_23_P106362,NM_020980,O43315,AQP9 ,,,
A_23_P113111,NM_000044,A0A0B4J1T2,AR,,,
A_23_P128728,NM_001172,A0A024R6A0,ARG2 ,,,
A_23_P149775,NM_018287,Q8IWW6,ARHGAP12,,,
A_23_P115608,NM_020824,Q5T5U3,ARHGAP21 ,,,
A_23_P142974,NM_001007231,P42331,ARHGAP25 ,,,
A_23_P161686,NM_014715,A7KAX9,ARHGAP32 ,,,
A_23_P151075,NM_001175,A0A024RAS5,ARHGDIB ,,,
A_23_P143885,NM_019555,Q9NR81,ARHGEF3,,,
A_23_P117515,NM_002892,A0A024R657,ARID4A ,,,
A_23_P143016,NM_212481,Q03989,ARID5A ,,,
A_23_P10081,NM_182896,Q3SXY8,ARL13B ,,,
A_23_P15182,NM_012106,A0A024R6U9,ARL2BP ,,,
A_23_P145761,NM_005738,A0A024R9Z2,ARL4A ,,,
A_23_P138271,NM_138795,A0A024R977,ARL8A ,,,
A_23_P15375,NM_024585,Q9H6L4,ARMC7,,,
A_23_P162037,NM_001030273,O00327,ARNTL ,,,
A_23_P102122,NM_152862,O15144,ARPC2 ,,,
A_23_P126803,NM_005717,O15511,ARPC5 ,,,
A_23_P158829,NM_004313,P32121,ARRB2 ,,,
A_23_P116902,NM_021071,Q93070,ART4 ,,,
A_23_P135995,NM_022786,A0A024R3V6,ARV1 ,,,
A_23_P12643,NM_020682,Q9HBK9,AS3MT ,,,
A_23_P161171,NM_019893,Q9NR71,ASAH2 ,,,
A_23_P114259,NM_080873,Q8WXH4,ASB11,,,
A_23_P125643,NM_001031739,A0A024RBW7,ASB9 ,,,
A_23_P143643,NM_032204,A0A024R1F9,ASCC2 ,,,
A_23_P119254,NM_018154,A0A024R7G4,ASF1B ,,,
A_23_P118722,NM_001671,P07306,ASGR1 ,,,
A_23_P130113,NM_080912,P07307,ASGR2 ,,,
A_23_P134827,NM_004674,Q9UBL3,ASH2L ,,,
A_23_P120629,NM_001672,P42127,ASIP ,,,
A_23_P145694,NM_001673,P08243,ASNS ,,,
A_23_P164436,NM_000049,P45381,ASPA ,,,
A_23_P121141,NM_014065,Q2TB18,ASTE1 ,,,
A_23_P101671,NM_033064,Q86WG3,ATCAY ,,,
A_23_P138574,NM_001001976,B3KWA3,ATE1 ,,,
A_23_P120933,NM_001675,P18848,ATF4 ,,,
A_23_P119337,NM_012068,A0A024QZG3,ATF5 ,,,
A_23_P112950,NM_018179,A0A024RAY1,ATF7IP ,,,
A_23_P129466,NM_024997,Q5U623,ATF7IP2 ,,,
A_23_P101342,NM_032885,Q86TL0,ATG4D ,,,
A_23_P111381,NM_004849,A9UGY9,ATG5 ,,,
A_23_P143987,NM_006395,O95352,ATG7 ,,,
A_23_P105028,NM_015459,Q6DD88,ATL3,,,
A_23_P13885,NM_001007026,P54259,ATN1 ,,,
A_23_P142878,NM_032827,Q96SQ7,ATOH8 ,,,
A_23_P144877,NM_004045,O00244,ATOX1 ,,,
A_23_P1072,NM_000701,P05023,ATP1A1,,,
A_23_P148879,NM_000702,P50993,ATP1A2 ,,,
A_23_P160177,NM_144699,Q13733,ATP1A4 ,,,
A_23_P11841,NM_001684,A0A024R968,ATP2B4 ,,,
A_23_P117992,NM_014861,O75185,ATP2C2 ,,,
A_23_P164228,NM_005175,P05496,ATP5G1,,,
A_23_P154832,NM_001003703,P18859,ATP5J ,,,
A_23_P143474,NM_001697,P48047,ATP5O ,,,
A_23_P11353,NM_005765,O75787,ATP6AP2 ,,,
A_23_P137814,NM_004047,Q99437,ATP6V0B ,,,
A_23_P146146,NM_152565,A0A024R991,ATP6V0D2 ,,,
A_23_P142815,NM_001692,P15313,ATP6V1B1 ,,,
A_23_P146058,NM_001695,A0A024R9I0,ATP6V1C1 ,,,
A_23_P143551,NM_001696,P36543,ATP6V1E1 ,,,
A_23_P143047,NM_080653,Q96A05,ATP6V1E2 ,,,
A_23_P163216,NM_024837,Q6PG43,ATP8B4,,,
A_23_P136058,NM_001184,Q13535,ATR ,,,
A_23_P160537,NM_024037,Q9H7T9,AUNIP ,,,
A_23_P131866,NM_198433,O14965,AURKA ,,,
A_23_P130182,NM_004217,Q96GD4,AURKB ,,,
A_23_P100074,NM_020371,Q9NQS1,AVEN,,,
A_23_P109133,NM_000490,P01185,AVP ,,,
A_23_P1492,NM_021732,Q5T686,AVPI1 ,,,
A_23_P148015,NM_004655,Q9Y2T1,AXIN2,,,
A_23_P121011,NM_033027,A0A024R2N7,AXUD1 ,,,
A_23_P103371,NM_052998,Q96A70,AZIN2 ,,,
A_23_P108564,NM_020981,Q9Y5Z6,B3GALT1,,,
A_23_P101380,NM_198540,Q7Z7M8,B3GNT8 ,,,
A_23_P135271,NM_001497,P15291,B4GALT1 ,,,
A_23_P149206,NM_003780,O60909,B4GALT2,,,
A_23_P152678,NM_015681,Q9UPM9,B9D1 ,,,
A_23_P134663,NM_024812,Q8WXS3,BAALC,,,
A_23_P154875,NM_012105,Q9Y5Z0,BACE2 ,,,
A_23_P146217,NM_004874,O95429,BAG4 ,,,
A_23_P111141,NM_004639,P46379,BAG6 ,,,
A_23_P117928,NM_014952,A0A024R9K2,BAHD1 ,,,
A_23_P163492,NM_003933,O94812,BAIAP3 ,,,
A_23_P145357,NM_001188,Q16611,BAK1 ,,,
A_23_P10232,NM_017935,Q8NDB2,BANK1,,,
A_23_P141520,NM_174893,Q8IXM2,BAP18 ,,,
A_23_P126349,NM_020063,Q9NY43,BARHL2,,,
A_23_P13083,NM_003658,Q9UMQ3,BARX2,,,
A_23_P133923,NM_033177,A0A024RCU2,BAT4 ,,,
A_23_P128974,NM_006399,Q16520,BATF,,,
A_23_P160720,NM_018664,Q9NR55,BATF3 ,,,
A_23_P120048,NM_013450,Q9UIF8,BAZ2B ,,,
A_23_P127495,NM_003986,O75936,BBOX1 ,,,
A_23_P106835,NM_031885,Q9BXC9,BBS2,,,
A_23_P141680,NM_017679,Q05D99,BCAS3,,,
A_23_P101551,NM_001190,O15382,BCAT2 ,,,
A_23_P152002,NM_004049,Q16548,BCL2A1 ,,,
A_23_P163209,NM_020396,Q9HD36,BCL2L10 ,,,
A_23_P102965,NM_015367,Q9BXK5,BCL2L13 ,,,
A_23_P118289,NM_004765,Q8WUZ0,BCL7C,,,
A_23_P111343,NM_014739,Q9NYF8,BCLAF1 ,,,
A_23_P124300,NM_017429,Q9HAY6,BCO1 ,,,
A_23_P159741,NM_017745,Q6W2J9,BCOR ,,,
A_23_P147495,NM_021946,Q5H9F3,BCORL1,,,
A_23_P128744,NM_000710,P46663,BDKRB1 ,,,
A_23_P127891,NM_170735,A0A0E3SU01,BDNF,,,
A_23_P104996,NM_004183,O76090,BEST1 ,,,
A_23_P16225,NM_017682,Q8NFU1,BEST2 ,,,
A_23_P159952,NM_018476,Q9HBH7,BEX1,,,
A_23_P109171,NM_001195,Q12934,BFSP1,,,
A_23_P159316,NM_003571,Q13515,BFSP2,,,
A_23_P139500,NM_030762,A0A024RAV8,BHLHB3 ,,,
A_23_P162386,NM_016293,A0A087X188,BIN2,,,
A_23_P118815,NM_001012271,H3BLT4,BIRC5,,,
A_23_P105833,NM_017693,Q86UB2,BIVM,,,
A_23_P131588,NM_014482,O95393,BMP10,,,
A_23_P11103,NM_005448,O95972,BMP15 ,,,
A_23_P154643,NM_001719,A8K571,BMP7 ,,,
A_23_P1431,NM_004329,P36894,BMPR1A ,,,
A_23_P109420,NM_014753,Q14692,BMS1 ,,,
A_23_P134925,NM_004331,O60238,BNIP3L ,,,
A_23_P102083,NM_033030,Q8N9W6,BOLL ,,,
A_23_P131785,NM_001725,P17213,BPI,,,
A_23_P131789,NM_001725,P17213,BPI,,,
A_23_P132004,NM_178466,Q9BQP9,BPIFA3 ,,,
A_23_P154784,NM_033197,Q8TDL5,BPIFB1 ,,,
A_23_P104046,NM_006085,O95861,BPNT1,,,
A_23_P136589,NM_207189,Q58F21,BRDT,,,
A_23_P122915,NM_015379,O95415,BRI3,,,
A_23_P103812,NM_199051,Q76B58,BRINP3 ,,,
A_23_P15844,NM_032043,A0A024QZ45,BRIP1 ,,,
A_23_P114929,NM_015415,A0A024R8Z5,BRP44 ,,,
A_23_P13438,NM_032320,D3DQW7,BTBD10 ,,,
A_23_P113825,NM_144653,A0A024R8I0,BTBD14A ,,,
A_23_P135722,NM_001729,P35070,BTC,,,
A_23_P155351,NM_000060,P43251,BTD,,,
A_23_P137139,NM_000061,Q06187,BTK ,,,
A_23_P122439,NM_181531,Q8WVV5,BTN2A2 ,,,
A_23_P158297,NM_197975,Q6UXE8,BTNL3 ,,,
A_23_P124417,NM_004336,O43683,BUB1 ,,,
A_23_P163481,NM_001211,O60566,BUB1B ,,,
A_23_P145197,NM_004053,Q13895,BYSL,,,
A_23_P113034,NM_032024,Q9H2I8,C10orf11 ,,,
A_23_P115838,NM_015652,Q8N655,C10orf12,,,
A_23_P12858,NM_152710,A0A024QZP9,C10orf27 ,,,
A_23_P138480,NM_024886,Q9H7T3,C10orf95,,,
A_23_P150350,NM_022761,Q9H5F2,C11orf1,,,
A_23_P13486,NM_020643,Q9NQ32,C11orf16,,,
A_23_P12911,NM_022338,A0A024R5K9,C11orf24 ,,,
A_23_P116207,NM_020153,A0A024R3G9,C11orf60 ,,,
A_23_P150238,NM_031450,Q9H3H3,C11orf68 ,,,
A_23_P139396,NM_016401,Q53FT3,C11orf73 ,,,
A_23_P116797,NM_021640,Q86UA3,C12orf10 ,,,
A_23_P128375,NM_032829,A0A024RBN3,C12orf34 ,,,
A_23_P116840,NM_021934,A0A024R128,C12orf44 ,,,
A_23_P128532,NM_152318,Q8N5I9,C12orf45,,,
A_23_P13797,NM_024738,A0A024RBQ8,C12orf49 ,,,
A_23_P163148,NM_022067,Q6IA61,C14orf133 ,,,
A_23_P14482,NM_016039,Q549M8,C14orf166 ,,,
A_23_P151497,NM_152307,A0A024R6Q2,C14orf172 ,,,
A_23_P106258,NM_207117,A0A024R6H7,C14orf68 ,,,
A_23_P163467,NM_207380,Q6ZUT6,C15orf52,,,
A_23_P100326,NM_001039476,Q9BTE2,C16orf35 ,,,
A_23_P152963,NM_017622,Q96GS4,C17orf59,,,
A_23_P141484,NM_018182,A0A024QZ60,C17orf63 ,,,
A_23_P164100,NM_181707,Q86WR6,C17orf64,,,
A_23_P15639,NM_022344,Q9HAS0,C17orf75,,,
A_23_P101237,NM_031446,Q32NC0,C18orf21 ,,,
A_23_P107801,NM_032207,Q9H6X5,C19orf44,,,
A_23_P164814,NM_024323,Q0VDD7,C19orf57,,,
A_23_P153524,NM_018111,Q9NVV2,C19orf73,,,
A_23_P130677,NM_018687,Q6UXH0,C19orf80 ,,,
A_23_P159839,NM_152692,Q96EU7,C1GALT1C1 ,,,
A_23_P1043,NM_018265,Q3KP66,C1orf106,,,
A_23_P11862,NM_018186,A0A024R922,C1orf112 ,,,
A_23_P126120,NM_033319,A0A024R932,C1orf155 ,,,
A_23_P160828,NM_017891,A0A024R082,C1orf159 ,,,
A_23_P104025,NM_052965,B1ALV0,C1orf19 ,,,
A_23_P113161,NM_030806,A0A024R926,C1orf21 ,,,
A_23_P104054,NM_016227,A0A024R929,C1orf9 ,,,
A_23_P160297,NM_032884,Q6P1W5,C1orf94,,,
A_23_P137366,NM_000491,A0A024RAB9,C1QB ,,,
A_23_P125977,NM_172369,A0A024RAA7,C1QC ,,,
A_23_P1186,NM_001010908,Q5VWW1,C1QL3 ,,,
A_23_P122068,NM_181435,Q9BXJ4,C1QTNF3 ,,,
A_23_P125423,NM_001733,P00736,C1R,,,
A_23_P102582,NM_018840,Q9BUV8,C20orf24 ,,,
A_23_P132139,NM_058180,P58505,C21orf58,,,
A_23_P132079,NM_019596,Q9NYP8,C21orf62 ,,,
A_23_P132237,NM_015370,O95567,C22orf31,,,
A_23_P132341,NM_001142964,C9J442,C22orf46,,,
A_23_P120062,NM_003203,A4UHR0,C2orf3,,,
A_23_P154022,NM_025203,Q9H6R7,C2orf44 ,,,
A_23_P142918,NM_153689,Q8N8R5,C2orf69,,,
A_23_P131449,NM_001145054,G3XAA6,C2orf81 ,,,
A_23_P155477,NM_016210,Q9UK00,C3orf18,,,
A_23_P144005,NM_015931,A0A024R2D2,C3orf32 ,,,
A_23_P153562,NM_001736,P21730,C5AR1 ,,,
A_23_P122007,NM_033211,Q96GV9,C5orf30,,,
A_23_P133974,NM_024294,A0A024RCW2,C6orf106 ,,,
A_23_P122532,NM_021184,O95873,C6orf47 ,,,
A_23_P145724,NM_006658,A0A090N8N7,C7orf16 ,,,
A_23_P157316,NM_178829,A0A0G2JPS5,C7orf34 ,,,
A_23_P134477,NM_032350,Q9BRJ6,C7orf50 ,,,
A_23_P158053,NM_024112,Q9BUW7,C9orf16 ,,,
A_23_P146367,NM_032310,A0A024R248,C9orf89 ,,,
A_23_P106656,NM_001014435,P43166,CA7,,,
A_23_P157793,NM_001216,Q16790,CA9 ,,,
A_23_P148327,NM_005183,O60840,CACNA1F ,,,
A_23_P107247,NM_018896,O43497,CACNA1G ,,,
A_23_P134484,NM_001742,A0A0C4DG16,CALCR,,,
A_23_P129188,NM_033429,Q96GE6,CALML4,,,
A_23_P121215,NM_003656,B0YIY3,CAMK1 ,,,
A_23_P144458,NM_001221,A0A024RDK3,CAMK2D ,,,
A_23_P11800,NM_018584,Q7Z7J9,CAMK2N1,,,
A_23_P153941,NM_024766,Q7Z624,CAMKMT ,,,
A_23_P138835,NM_005186,P07384,CAPN1 ,,,
A_23_P101972,NM_144575,Q6MZZ7,CAPN13,,,
A_23_P149427,NM_006615,O14815,CAPN9 ,,,
A_23_P152406,NM_032330,Q96L46,CAPNS2,,,
A_23_P133536,NM_144647,Q8WWF8,CAPSL,,,
A_23_P100127,NM_170589,Q8NG31,CASC5 ,,,
A_23_P13102,NM_001191016,Q6UXS9,CASP12 ,,,
A_23_P12572,NM_033338,P55210,CASP7 ,,,
A_23_P126582,NM_001232,O14958,CASQ2,,,
A_23_P105138,NM_001752,P04040,CAT,,,
A_23_P134454,NM_001753,Q03135,CAV1 ,,,
A_23_P123071,NM_001233,P51636,CAV2,,,
A_23_P113634,NM_001755,A0A024R6X2,CBFB ,,,
A_23_P146004,NM_024814,Q75N03,CBLL1 ,,,
A_23_P15889,NM_182511,A0A024R380,CBLN2 ,,,
A_23_P115842,NM_018237,Q8IX12,CCAR1 ,,,
A_23_P101461,NM_030818,P13994,CCDC130 ,,,
A_23_P133770,NM_138493,Q9P0B6,CCDC167 ,,,
A_23_P114144,NM_014008,A0A024QZ03,CCDC22 ,,,
A_23_P109964,NM_032600,Q8NEL0,CCDC54,,,
A_23_P105664,NM_014167,Q9P031,CCDC59 ,,,
A_23_P128008,NM_021827,Q6ZN84,CCDC81,,,
A_23_P150249,NM_006848,Q15834,CCDC85B ,,,
A_23_P161918,NM_024098,Q9H6F5,CCDC86 ,,,
A_23_P162127,NM_021825,Q9GZT6,CCDC90B ,,,
A_23_P145330,NM_019052,Q2TB68,CCHCR1,,,
A_23_P162010,NM_176875,P32239,CCKBR ,,,
A_23_P123853,NM_006274,Q6IBD6,CCL19 ,,,
A_23_P135248,NM_006664,Q5VZ77,CCL27 ,,,
A_23_P152838,NM_002985,D0EI67,CCL5 ,,,
A_23_P122197,NM_031966,P14635,CCNB1 ,,,
A_23_P145397,NM_005190,P24863,CCNC,,,
A_23_P127475,NM_005125,O14618,CCS,,,
A_23_P105392,NM_006431,P78371,CCT2 ,,,
A_23_P102420,NM_006430,P50991,CCT4 ,,,
A_23_P102404,NM_006429,Q99832,CCT7 ,,,
A_23_P102876,NM_006585,P50990,CCT8 ,,,
A_23_P113572,NM_001770,P15391,CD19,,,
A_23_P161076,NM_001767,P06729,CD2 ,,,
A_23_P121480,NM_001004196,P41217,CD200 ,,,
A_23_P15369,NM_174892,A8K4G0,CD300LB ,,,
A_23_P131435,NM_014880,Q8IX05,CD302 ,,,
A_23_P119698,NM_016579,Q9NPF0,CD320 ,,,
A_23_P111583,NM_001001547,A4D1B1,CD36 ,,,
A_23_P126584,NM_005894,O43866,CD5L ,,,
A_23_P15394,NM_001251,P34810,CD68,,,
A_23_P107735,NM_001783,P11912,CD79A ,,,
A_23_P13425,NM_004356,A0A024RCB7,CD81 ,,,
A_23_P138507,NM_001786,I6L9I5,CDC2,,,
A_23_P149200,NM_001255,Q12834,CDC20,,,
A_23_P133629,NM_004661,Q9UJX2,CDC23 ,,,
A_23_P164999,NM_004359,A0A024R1Z1,CDC34 ,,,
A_23_P130531,NM_007065,A0A024R7B7,CDC37 ,,,
A_23_P1602,NM_006779,O14613,CDC42EP2 ,,,
A_23_P156471,NM_001253,Q99459,CDC5L ,,,
A_23_P148807,NM_003503,O00311,CDC7 ,,,
A_23_P104651,NM_080668,A0A024R5D6,CDCA5 ,,,
A_23_P144656,NM_006727,Q9Y6N8,CDH10,,,
A_23_P152305,NM_001797,P55287,CDH11,,,
A_23_P100240,NM_004062,O75309,CDH16 ,,,
A_23_P111947,NM_004063,Q12864,CDH17,,,
A_23_P140797,NM_001796,P55286,CDH8,,,
A_23_P133338,NM_017675,Q9BYE9,CDHR2 ,,,
A_23_P154050,NM_139158,Q96Q40,CDK15 ,,,
A_23_P139486,NM_004642,O14519,CDK2AP1 ,,,
A_23_P133585,NM_001799,P50613,CDK7 ,,,
A_23_P139958,NM_001260,P49336,CDK8,,,
A_23_P110643,NM_016508,Q8IVW4,CDKL3 ,,,
A_23_P125495,NM_004065,P51861,CDR1,,,
A_23_P114314,NM_005193,O14627,CDX4,,,
A_23_P134078,NM_004824,Q9Y232,CDYL ,,,
A_23_P130515,NM_001815,P40198,CEACAM3 ,,,
A_23_P153301,NM_004363,A0A024R0K5,CEACAM5 ,,,
A_23_P119964,NM_005760,Q03701,CEBPZ ,,,
A_23_P132378,NM_014246,Q9NYQ6,CELSR1 ,,,
A_23_P110802,NM_022909,Q9H3R5,CENPH ,,,
A_23_P155989,NM_022145,Q9BS16,CENPK ,,,
A_23_P145424,NM_014895,Q5TB80,CEP162 ,,,
A_23_P102832,NM_007186,Q9BV73,CEP250 ,,,
A_23_P115872,NM_018131,Q53EZ4,CEP55 ,,,
A_23_P107513,NM_024899,B4DP81,CEP76,,,
A_23_P162378,NM_016122,J3KNW7,CEP83,,,
A_23_P130856,NM_032816,Q96ST8,CEP89 ,,,
A_23_P143952,NM_024548,Q8IW35,CEP97 ,,,
A_23_P118234,NM_145024,Q6NT32,CES5A ,,,
A_23_P11980,NM_001195831,A0A087WVY5,CFAP57,,,
A_23_P156687,NM_001710,P00751,CFB ,,,
A_23_P119562,NM_001928,P00746,CFD ,,,
A_23_P103256,NM_021023,Q02985,CFHR3 ,,,
